Train_id,Train_name,Train_no,Source,Destitnation,Date,Distance(Km),Sc_arr__time,Act_arr_time,Dealy_min
E1,Begampura Express,12238,Varanasi,Jammu,01-01-2016 00:00,1260,06:30:00,07:45:00,01:15:00
E2,Begampura Express,12238,Varanasi,Jammu,01-01-2017 00:00,1260,06:30:00,06:50:00,00:20:00
E3,Begampura Express,12238,Varanasi,Jammu,01-01-2018 00:00,1260,06:30:00,08:00:00,01:30:00
E4,Begampura Express,12238,Varanasi,Jammu,01-01-2019 00:00,1260,06:30:00,06:40:00,00:10:00
E5,Begampura Express,12238,Varanasi,Jammu,01-01-2020 00:00,1260,06:30:00,07:00:00,00:30:00
E6,Begampura Express,12238,Varanasi,Jammu,07-01-2021 00:00,1260,06:30:00,06:35:00,00:05:00
E7,Begampura Express,12238,Varanasi,Jammu,01-01-2022 00:00,1260,06:30:00,07:10:00,00:40:00
E8,Begampura Express,12238,Varanasi,Jammu,01-01-2023 00:00,1260,06:30:00,08:00:00,01:30:00
E9,Begampura Express,12238,Varanasi,Jammu,01-01-2024 00:00,1260,06:30:00,06:45:00,00:15:00
E10,Begampura Express,12238,Varanasi,Jammu,01-01-2025 00:00,1260,06:30:00,07:20:00,00:50:00
G1,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,02-01-2016 00:00,1754,10:00:00,11:20:00,01:20:00
G2,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,07-01-2017 00:00,1754,10:00:00,10:45:00,00:45:00
G3,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,06-01-2018 00:00,1754,10:00:00,10:30:00,00:30:00
G4,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,05-01-2019 00:00,1754,10:00:00,10:10:00,00:10:00
G5,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,04-01-2020 00:00,1754,10:00:00,10:20:00,00:20:00
G6,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,02-01-2021 00:00,1754,10:00:00,10:10:00,00:10:00
G7,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,01-01-2022 00:00,1754,10:00:00,12:00:00,02:00:00
G8,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,07-01-2023 00:00,1754,10:00:00,11:00:00,01:00:00
G9,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,06-01-2024 00:00,1754,10:00:00,10:35:00,00:35:00
G10,Gorakhpur-pune Weekly Express,15029,Gorakhpur,Pune,04-01-2025 00:00,1754,10:00:00,11:15:00,01:15:00
R1,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2016 00:00,1450,10:00:00,10:20:00,00:20:00
R2,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2017 00:00,1450,10:00:00,10:40:00,00:40:00
R3,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2018 00:00,1450,10:00:00,11:10:00,01:10:00
R4,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2019 00:00,1450,10:00:00,10:05:00,00:05:00
R5,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2020 00:00,1450,10:00:00,10:30:00,00:30:00
R6,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2021 00:00,1450,10:00:00,10:50:00,00:50:00
R7,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2022 00:00,1450,10:00:00,11:15:00,01:15:00
R8,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2023 00:00,1450,10:00:00,10:10:00,00:10:00
R9,Rajdhani Express ,12301,Howrah, New Delhi,01-01-2024 00:00,1450,10:00:00,11:00:00,01:00:00
